across			ngang qua
soil	đất
solar	hệ mặt trời
soldier	lính
sold	đã bán
solid	chất rắn
solution	giải pháp
solve	gỡ rối
somebody	có ai
somehow	bằng cách nào đó
song	bài hát
something	một cái gì đó
sometimes	đôi khi
somewhat	phần nào
somewhere	một vài nơi
son	Con trai
soon	Sớm
source	nguồn
sophisticated	tinh vi
sorry	lấy làm tiếc
sort	sắp xếp
soul	Linh hồn
sorting	phân loại
sought	tìm kiếm
sound	âm thanh
soup	Súp
sounded	nghe có vẻ
spread	lây lan
speaker	loa
span	khoảng
south	miền Nam
southern	phía Nam
space	không gian
sow	gieo
sovereign	tối cao
speak	nói
spare	bổ sung
spatial	không gian
speaks	nói
speaking	nói
spent	bỏ ra
specific	riêng
special	đặc biệt
specialist	chuyên gia
species	loài
specially	đặc biệt
specter	bóng ma
specifically	đặc biệt
specify	chỉ định
spend	tiêu
speech	phát biểu
spectrum	quang phổ
speculate	suy đoán
speed	tốc độ
spending	chi tiêu
spot	nơi
sports	các môn thể thao
sport	thể thao
spin	quay
spirit	tinh thần
spiritual	tâm linh
spirits	tinh thần
split	chia
splendid	lộng lẫy
spokesman	phát ngôn viên
spoken	nói
spontaneous	tự phát
sponsored	tài trợ
spotted	phát hiện
spots	điểm
stars	sao
stand	đứng
stain	vết bẩn
square	hình vuông
spring	mùa xuân
squeeze	vắt kiệt
stability	ổn định
sre	null
stable	ổn định
staff	Nhân Viên
stage	sân khấu
stair	cầu thang
staining	nhuộm màu
stake	cổ phần
stairs	cầu thang
star	ngôi sao
stands	khán đài
standard	Tiêu chuẩn
standing	đứng
stare	nhìn chằm chằm
static	tĩnh
starts	bắt đầu
starting	bắt đầu
start	khởi đầu
started	đã bắt đầu
state	tiểu bang
starve	chết đói
states	Những trạng thái
statement	tuyên bố
statements	các câu lệnh
stock	cổ phần
steps	các bước
stay	ở lại
station	ga tàu
statistics	số liệu thống kê
stationary	đứng im
statistic	thống kê
status	trạng thái
steam	hơi nước
stealing	ăn cắp
steady	vững chắc
steal	lấy trộm
steel	Thép
step	bươc
stem	thân cây
stems	thân cây
stepped	bước
still	vẫn
stick	gậy
stereotype	khuôn mẫu
stiff	cứng
stir	khuấy
stimulate	kích thích
stipulate	quy định
store	cửa hàng
stomach	cái bụng
stone	sỏi
stop	dừng lại
storage	lưu trữ
stores	cửa hàng
stored	được lưu trữ
unlikely	không có khả năng
the	các
that	cái đó
surface	bề mặt
stressed	nhấn mạnh
streaming	phát trực tuyến
strange	lạ
story	câu chuyện
storm	bão táp
stranded	mắc kẹt
straight	thẳng
strain	sự căng thẳng, quá tải
stranger	người lạ
strategic	chiến lược
strata	Strata
strategy	chiến lược
stream	suối
strengthened	tăng cường
street	đường phố
strength	sức mạnh
strengthen	tăng cường
stress	nhấn mạnh
student	sinh viên
structure	kết cấu
stroll	đi dạo
stretch	căng ra
strike	đình công
stretched	kéo dài
strictly	nghiêm chỉnh
string	chuỗi
striking	nổi bật
strip	dải
strings	dây
stroke	đột quỵ
strong	mạnh
strongly	mạnh mẽ
struggling	đấu tranh
struggled	vật lộn
struggle	đấu tranh
structures	cấu trúc
strwould	null
students	sinh viên
sunset	Hoàng hôn
suburbs	vùng ngoại ô
subsequently	sau đó
stunned	choáng váng
studio	trường quay
study	học
stuff	đồ đạc
studying	học tập
stupid	ngốc nghếch
style	Phong cách
subject	môn học
sub	phụ
subdivide	chia nhỏ
submit	Gửi đi
subjective	chủ quan
subsequent	tiếp theo
submodule	mô hình con
subordinate	cấp dưới
subsidiary	công ty con
subside	giảm dần
substance	vật chất
subsidize	trợ cấp
substantial	đáng kể
subthat	null
substantially	đáng kể
subtle	tế nhị
subway	xe điện ngầm
subversive	lật đổ
sun	mặt trời
successfully	thành công
success	sự thành công
succeed	thành công
succeeded	đã thành công
successful	thành công
suggesting	đề nghị
such	như là
sudden	đột nhiên
suddenly	đột ngột
sue	kiện
suffer	đau khổ
sufficient	đủ
suffering	đau khổ
suffered	chịu đựng
suffice	đủ
sugar	Đường
sufficiently	đủ
suggest	đề xuất
suit	Gửi phản hồi
suggestion	gợi ý
suicide	tự sát
summer	mùa hè
summary	tóm lược
sum	Tổng
suitable	thích hợp
summit	hội nghị thượng đỉnh
supports	hỗ trợ
supplies	vật tư
super	siêu
supper	bữa ăn tối
superior	cấp trên
superficial	hời hợt
superimpose	chồng chất
supplied	cung cấp
support	ủng hộ
supply	cung cấp
supporter	người hỗ trợ
suppose	giả sử
supposed	giả định
sure	chắc chắn rồi
supreme	tối cao
suppress	đàn áp
surely	chắc chắn
telling	nói
tape	băng
symbolically	tượng trưng
surrealist	siêu thực
surprise	sự ngạc nhiên
surgery	phẫu thuật
surplus	số dư
surprised	ngạc nhiên
surprising	thật ngạc nhiên
surprisingly	thật ngạc nhiên
switch	công tắc điện
suspended	bị đình chỉ
survive	sống sót
surveillance	giám sát
surround	vây quanh
survey	khảo sát
survival	Sự sống còn
survivors	những người sống sót
survivor	người sống sót
suspect	nghi ngờ
suspend	đình chỉ
swastikas	hình chữ vạn
suspends	đình chỉ
suspension	Huyền phù
sustain	duy trì
suspicion	sự nghi ngờ
swear	xin thề
sweep	quét
sweat	mồ hôi
sweet	ngọt
swim	bơi
sweeten	ngọt ngào
swept	quét
swift	nhanh
swing	lung lay
swimming	bơi lội
switched	chuyển đổi
symbol	Biểu tượng
syllable	âm tiết
swung	vung
symbolic	tượng trưng
takeaway	lấy đi
t	
symphonies	giao hưởng
symbolizing	tượng trưng
symbolize	tượng trưng
sympathetic	thông cảm
symbols	biểu tượng
system	hệ thống
symptoms	triệu chứng
symptom	triệu chứng
syntax	cú pháp
syntaxes	cú pháp
synthetic	sợi tổng hợp
systems	hệ thống
take	lấy
table	bàn
tablespoon	muỗng canh
tables	những cái bàn
tactic	chiến thuật
tail	đuôi
taken	Lấy
talking	đang nói
takes	nhận
taking	đang lấy
tale	câu chuyện
talent	năng lực
talk	nói chuyện
tall	cao
tank	xe tăng
tangent	tiếp tuyến
tap	gõ
team	đội
target	Mục tiêu
task	bài tập
taste	nếm thử
tax	Thuế
taxpayer	người nộp thuế
taxes	thuế
tea	trà
te	null
tcan	null
teach	dạy
teacher	giáo viên
teaching	giảng bài
tease	trêu chọc
tears	những giọt nước mắt
tear	nước mắt
tell	nói
technology	Công nghệ
tech	công nghệ
teaspoon	muỗng cà phê
technical	kỹ thuật
technique	kỹ thuật
teen	thiếu niên
teenager	thiếu niên
telephone	Điện thoại
telegraph	điện báo
telescope	kính thiên văn
television	Tivi
than	hơn
temporary	tạm thời
temperature	nhiệt độ
tells	kể
tennis	quần vợt
tends	xu hướng
ten	mười
tend	có xu hướng
tendency	xu hướng
th	thứ tự
tested	thử nghiệm
test	kiểm tra
term	kỳ hạn
tension	căng thẳng
tense	bẩn quá
tent	Cái lều
tentative	mang tính thăm dò
terminates	chấm dứt
terms	điều kiện
terminology	thuật ngữ
terrible	kinh khủng
territory	lãnh thổ
terror	khủng bố
terrorism	khủng bố
terrorist	khủng bố
testified	làm chứng
testify	làm chứng
testimony	lời khai
testing	thử nghiệm
text	chữ / văn bản
tests	kiểm tra
texte	nhắn tin
texture	kết cấu
thanks	cảm ơn
thank	cảm tạ
to	đến
they	họ
their	của chúng
theatres	rạp chiếu phim
theater	rạp hát
theft	trộm cắp
them	họ
theory	học thuyết
then	sau đó
themselves	chúng tôi
theme	chủ đề
theorists	nhà lý luận
theoretically	về mặt lý thuyết
theorem	định lý
these	những
there	ở đó
therapy	trị liệu
therefore	vì thế
thereby	bằng cách ấy
thermal	nhiệt
this	điều này
thinly	mỏng
think	suy nghĩ
thing	Điều
thick	dày
thin	gầy
thickness	độ dày
things	nhiều thứ
thinking	tư duy
third	ngày thứ ba
thirty	ba mươi
though	Tuy nhiên
those	những, cái đó
thoroughly	triệt để
thorough	kỹ lưỡng
time	thời gian
three	số ba
threatening	đe dọa
thousands	hàng ngàn
thought	nghĩ
thousand	ngàn
threatened	bị đe dọa
threaten	hăm dọa
threat	mối đe dọa
threading	luồng
threats	các mối đe dọa
through	xuyên qua
throat	họng
threw	đã ném
tier	tầng
throughout	khắp
throw	phi
thus	do đó
thrown	ném
ticket	vé
tie	cà vạt
tied	buộc
tight	chặt chẽ
timely	hợp thời
title	tiêu đề
times	lần
tips	lời khuyên
tiny	nhỏ bé
tip	tiền boa
tire	lốp xe
tired	mệt mỏi
tissue	mô
toll	thu phí
together	cùng với nhau
tobacco	thuốc lá
today	hôm nay
toe	ngón chân
tof	null
told	kể lại
tolerate	tha thứ
under	Dưới
travels	du lịch
train	xe lửa
tom	tom
town	thị trấn
too	quá
tomato	cà chua
tomorrow	Ngày mai
tone	tấn
tongue	lưỡi
tonight	tối nay
tools	công cụ
tool	dụng cụ
took	lấy
total	toàn bộ
tooth	răng
top	hàng đầu
topic	đề tài
toss	quăng
tossed	quăng
toward	về phía
totally	Tổng cộng
touch	chạm
tough	khó khăn
touched	xúc động
tour	chuyến du lịch
tourist	khách du lịch
tournament	giải đấu
towards	hướng tới
tower	tòa tháp
tradition	truyền thống
track	theo dõi
toy	đồ chơi
trace	dấu vết
trademarks	nhãn hiệu
trademark	Nhãn hiệu
tracked	theo dõi
trade	buôn bán
traditional	truyên thông
traffic	giao thông
tragedy	bi kịch
trail	đường mòn
tragic	bi thảm
trained	đào tạo
trash	rác
transmit	chuyển giao
transformed	biến đổi
training	đào tạo
transfer	chuyển khoản
trait	đặc điểm
transact	giao dịch
transform	biến đổi
transformation	biến đổi
transition	quá độ
translate	Phiên dịch
translator	người dịch
transportation	vận chuyển
transparent	trong suốt
transport	vận chuyển
trap	bẩy
travel	du lịch
two	hai
turns	lượt
turned	quay
tsr	
try	thử
tricks	thủ thuật
treatment	sự đối xử
treat	đãi
tre	tre
treaty	hiệp ước
tree	cây
tremendous	to lớn
trend	khuynh hướng
trial	thử nghiệm
tribe	bộ lạc
trials	thử nghiệm
triangle	Tam giác
trick	lừa /mẹo
tries	cố gắng
trip	chuyến đi
troop	đoàn quân
trivial	không đáng kể
trouble	rắc rối
tropical	nhiệt đới
truck	xe tải
trouve	đoàn kịch
troubled	gặp rắc rối
truly	thật sự
trust	Lòng tin
truth	sự thật
trying	cố gắng
turn	xoay
tube	ống
tthat	tthat
tunnel	đường hầm
tuples	bộ
turning	quay
tutelage	dạy kèm
twice	hai lần
twelve	mười hai
tutorial	hướng dẫn
twenty	hai mươi
twin	sinh đôi
uk	anh
type	kiểu
typical	điển hình
typically	thông thường
ugly	xấu xí
typing	đánh máy
unconstitutional	vi hiến
unclear	không rõ
ultimate	tối thượng
ultimately	cuối cùng
unable	không thể
un	null
uncle	Chú
unconscious	bất tỉnh
unhappy	không vui
unemployment	thất nghiệp
unemployed	thất nghiệp
understand	hiểu biết
undergo	trải qua
underlie	nền tảng
understanding	hiểu
undertake	đảm nhận
unduly	quá đáng
unfortunately	không may
unity	đoàn kết
units	các đơn vị
uniform	đồng phục
union	liên hiệp
unique	độc nhất
unit	đơn vị
unittest	khó chịu nhất
unknowingly	vô tình
universal	phổ cập
universe	vũ trụ
university	trường đại học
universities	trường đại học
unknown	không xác định
unless	trừ khi
unlike	không giống
unseen	vô hình
unsafe	không an toàn
unprofessional	không chuyên nghiệp
up	lên
unusual	bất thường
until	cho đến khi
upcoming	sắp tới
updated	cập nhật
virus	vi-rút
via	thông qua
vaccine	vắc-xin
using	sử dụng
upside	mặt trái
upset	buồn bã
upon	trên
upper	phía trên
uppercase	chữ hoa
uppermost	trên cùng
us	chúng ta
urban	thành thị
upsurge	bùng nổ
urge	thúc giục
urged	thúc giục
urgent	khẩn cấp
used	đã sử dụng
use	sử dụng
usage	sử dụng
user	người dùng
useful	hữu ích
users	người dùng
usually	thông thường
usual	bình thường
uttered	phát ngôn
utility	tiện ích
utilize	sử dụng
utter	thốt ra
vacation	kỳ nghỉ
versions	phiên bản
version	phiên bản
valley	thung lũng
vaccines	vắc-xin
valence	hóa trị
vaguely	mơ hồ
vague	mơ hồ
valide	valide
van	xe tải
valuable	quý giá
value	giá trị
venues	địa điểm
ve	đã
variety	đa dạng
variable	Biến đổi
variation	biến thể
variables	biến
varied	đa dạng
various	đa dạng
vary	khác nhau
vast	rộng lớn
varying	thay đổi
vegetable	rau
vehicle	null
venture	liên doanh
velocity	vận tốc
vein	tĩnh mạch
verbal	bằng lời nói
verbally	bằng lời nói
verify	kiểm chứng
verse	thơ
veteran	cựu chiến binh
very	rất
versus	đấu với
vertical	theo chiều dọc
vessel	tàu
virtual	ảo
video	video
victim	nạn nhân
vice	hành vi xấu xa
vibrate	rung
victory	chiến thắng
view	lượt xem
videos	video
violence	bạo lực
viewed	đã xem
violated	vi phạm
viewer	người xem
village	làng
violate	xâm phạm
violation	sự vi phạm
violent	hung bạo
virtually	hầu như
virtue	Đức hạnh
yellow	màu vàng
weeks	tuần
warship	tàu chiến
waitress	nữ phục vụ
visit	chuyến thăm
vision	tầm nhìn
visible	có thể nhìn thấy
visitors	khách
visitor	khách thăm quan
visited	đã đến thăm
visiting	thăm
vpx	
vocabulary	từ vựng
visual	trực quan
vital	quan trọng
voice	tiếng nói
volume	âm lượng
voices	tiếng nói
volt	vôn
volunteer	Tình nguyện viên
volumes	khối lượng
vote	bỏ phiếu
voter	cử tri
votre	bỏ phiếu
voting	bỏ phiếu
vs	đấu với
vulnerable	dễ bị tổn thương
wage	tiền lương
w	
wait	chờ đợi
wages	tiền lương
wants	muốn
want	muốn
wall	Tường
wake	thức dậy
walk	đi bộ
wander	đi lang thang
war	chiến tranh
warning	cảnh báo
warn	cảnh báo
warm	ấm áp
warfare	chiến tranh
warmth	sự ấm áp
was	là
wary	cảnh giác
weather	thời tiết
way	đường
waste	chất thải
wash	rửa
washing	rửa
washed	rửa sạch
watch	đồng hồ đeo tay
water	Nước
wave	làn sóng
waters	nhiều nước
we	chúng tôi
ways	cách
weapons	vũ khí
weak	Yếu
wealth	sự giàu có
weakness	yếu đuối
wealthy	giàu có
weapon	vũ khí
wear	mặc
wearing	mặc
wearers	người mặc
week	tuần
weddings	đám cưới
wedding	lễ cưới
weekend	ngày cuối tuần
weekday	các ngày trong tuần
weekly	hàng tuần
will	sẽ
whether	liệu
what	gì
went	đã đi
weigh	cân
well	tốt
weight	cân nặng
welcome	chào mừng
welfare	phúc lợi
weren	người sói
were	là
west	hướng Tây
western	miền Tây
wet	ướt
when	khi nào
whatever	bất cứ điều gì
wheel	bánh xe
where	Ở đâu
whenever	bất cứ khi nào
whereabouts	nơi ở
whereas	trong khi
wherever	bất cứ nơi nào
who	ai
which	mà
while	trong khi
whisper	thì thầm
whip	roi da
white	trắng
whose	ai
whole	toàn bộ
whom	ai
why	tại sao
widely	rộng rãi
wide	rộng
widespread	phổ biến rộng rãi
wife	người vợ
widower	góa
widow	Góa phụ
wild	hoang dã
windows	các cửa sổ
win	thắng lợi
willing	sẵn lòng
window	cửa sổ
wind	gió
world	thế giới
with	với
winner	người chiến thắng
wine	rượu
wing	canh
winter	mùa đông
winning	chiến thắng
wipe	lau
wire	dây điện
wisdom	sự khôn ngoan
wise	khôn ngoan
wish	ước
workers	công nhân
women	đàn bà
without	không có
withdraw	rút tiền
within	trong
witness	nhân chứng
woman	đàn bà
wore	mặc
won	đã thắng
words	từ ngữ
wonder	ngạc nhiên
wonderful	Tuyệt vời
wood	gỗ
wonders	kỳ quan
wooden	gỗ
word	từ
wordnet	mạng lưới
work	công việc
worker	công nhân
workforce	lực lượng lao động
workout	tập thể dục
working	đang làm việc
workplace	nơi làm việc
works	làm
workshop	xưởng
writer	nhà văn
wounded	bị thương
worst	tệ nhất
worried	lo lắng
worry	lo
would	sẽ
worth	giá trị
wound	chạm đến
wrap	bọc
write	viết
yearlong	một năm
year	năm
written	bằng văn bản
writing	viết
wrote	đã viết
wrong	Sai lầm
yard	sân
x	null
yeah	yeah
years	năm
yell	hét lên
you	bạn
yesterday	hôm qua
yes	Đúng
yet	chưa
yield	năng suất
your	của bạn
young	trẻ
zoom	thu phóng
zeleny	null
yours	của bạn
yourself	bản thân bạn
youth	thiếu niên
z	NULL
zero	số không
zone	vùng
